Empregados - admissões - Novo Caged sem ajuste
AL;2704203;Limoeiro de Anadia;16;19;9;0;37;12;79;16;85;51;12;8;
AL;2704302;Maceió;4468;4704;4028;1348;2420;2541;2989;4101;5322;5149;5623;4693;
AL;2704401;Major Isidoro;1;1;2;2;6;9;2;2;3;2;0;0;
AL;2704500;Maragogi;79;38;67;2;25;5;9;122;147;111;117;156;
AL;2704609;Maravilha;0;0;2;0;0;0;1;0;0;0;1;2;
AL;2704708;Marechal Deodoro;188;242;335;123;123;155;320;253;1219;527;291;240;
AL;2704807;Maribondo;2;6;3;18;14;13;14;7;9;0;5;9;
AL;2704906;Mar Vermelho;1;0;1;0;0;1;1;0;0;0;1;0;
AL;2705002;Mata Grande;2;1;13;0;1;0;1;1;4;4;1;4;
AL;2705101;Matriz de Camaragibe;11;18;9;11;19;8;6;20;116;32;13;7;
AL;2705200;Messias;23;19;26;2;4;20;49;29;4;6;19;9;
AL;2705309;Minador do Negrão;1;0;1;0;0;0;0;0;0;0;0;0;
AL;2705408;Monteirópolis;2;1;0;0;0;1;4;0;2;1;13;3;
AL;2705507;Murici;19;19;12;5;7;3;26;10;40;38;14;15;
AL;2705606;Novo Lino;8;3;9;5;10;3;24;0;2;2;5;5;
AL;2705705;Olho d'Água das Flores;11;12;12;6;8;18;10;13;32;22;11;15;
AL;2705804;Olho d'Água do Casado;0;0;0;0;1;8;12;0;1;19;1;1;
AL;2705903;Olho d'Água Grande;0;0;2;0;0;0;0;0;1;0;0;0;
AL;2706000;Olivença;0;4;2;2;0;0;2;0;0;2;1;0;
AL;2706109;Ouro Branco;8;2;1;6;1;1;4;1;4;5;1;1;
AL;2706208;Palestina;0;0;0;0;0;0;0;0;0;0;0;0;
AL;2706307;Palmeira dos Índios;153;54;69;19;23;35;49;46;83;93;96;57;
AL;2706406;Pão de Açúcar;4;0;4;1;0;0;2;11;1;2;7;0;
AL;2706422;Pariconha;0;8;0;0;0;0;0;0;1;0;0;0;
AL;2706448;Paripueira;24;31;16;4;20;17;14;16;60;24;53;27;
AL;2706505;Passo de Camaragibe;17;22;7;0;0;8;1;13;15;31;11;9;
AL;2706604;Paulo Jacinto;1;0;1;9;0;0;2;0;0;0;0;0;
AL;2706703;Penedo;54;53;51;17;45;62;144;54;355;155;86;48;
AL;2706802;Piaçabuçu;0;3;5;2;1;2;3;1;9;10;6;1;
AL;2706901;Pilar;104;31;34;15;62;59;43;50;33;76;38;40;
AL;2707008;Pindoba;0;0;0;0;0;0;0;0;0;0;0;0;
AL;2707107;Piranhas;18;10;8;4;6;0;15;21;12;27;17;1;
AL;2707206;Poço das Trincheiras;1;0;0;0;1;0;0;2;5;24;33;0;
AL;2707305;Porto Calvo;8;5;5;3;19;24;134;135;454;77;16;3;
AL;2707404;Porto de Pedras;8;3;14;8;0;1;13;5;12;28;50;25;
AL;2707503;Porto Real do Colégio;1;1;2;2;0;1;0;0;3;0;1;1;
AL;2707602;Quebrangulo;0;0;0;0;0;1;8;1;3;0;2;0;
AL;2707701;Rio Largo;399;481;164;36;158;541;239;121;1434;367;321;284;
AL;2707800;Roteiro;13;8;15;1;0;0;2;1;16;11;10;17;
AL;2707909;Santa Luzia do Norte;13;8;7;11;5;10;10;8;5;18;24;16;
AL;2708006;Santana do Ipanema;68;160;102;17;34;85;99;59;60;76;78;89;
