Empregados - demissões - Novo Caged sem ajuste
AL;2704203;Limoeiro de Anadia;16;8;6;4;9;4;6;14;11;9;5;5;
AL;2704302;Maceió;5214;4099;4605;4956;3953;2880;3641;3192;3083;3015;3007;3727;
AL;2704401;Major Isidoro;1;6;3;2;5;0;5;2;0;4;1;15;
AL;2704500;Maragogi;38;44;134;183;201;81;24;14;43;32;51;54;
AL;2704609;Maravilha;0;4;0;1;0;1;1;0;0;1;0;0;
AL;2704708;Marechal Deodoro;279;166;276;412;1014;142;175;125;150;213;188;227;
AL;2704807;Maribondo;11;3;1;1;3;3;1;4;3;1;6;7;
AL;2704906;Mar Vermelho;2;1;0;0;0;0;0;0;0;0;1;0;
AL;2705002;Mata Grande;3;1;2;1;1;1;0;0;0;5;2;1;
AL;2705101;Matriz de Camaragibe;48;20;167;43;10;32;5;19;13;33;31;44;
AL;2705200;Messias;31;25;26;12;11;7;31;8;9;7;11;34;
AL;2705309;Minador do Negrão;0;0;0;0;0;0;0;0;0;0;0;0;
AL;2705408;Monteirópolis;4;2;0;0;0;2;1;2;1;0;1;1;
AL;2705507;Murici;44;51;15;11;4;23;12;7;16;11;10;12;
AL;2705606;Novo Lino;14;11;1;1;1;10;1;1;6;16;15;4;
AL;2705705;Olho d'Água das Flores;24;10;14;15;11;3;9;12;9;11;25;13;
AL;2705804;Olho d'Água do Casado;0;0;0;0;1;0;2;4;8;1;0;2;
AL;2705903;Olho d'Água Grande;0;0;0;0;0;1;0;0;0;0;0;0;
AL;2706000;Olivença;4;0;2;1;0;2;0;0;0;1;0;3;
AL;2706109;Ouro Branco;4;1;4;2;3;3;1;4;3;2;0;1;
AL;2706208;Palestina;0;1;0;0;0;0;0;0;0;0;0;0;
AL;2706307;Palmeira dos Índios;97;60;73;56;50;32;43;41;57;57;66;53;
AL;2706406;Pão de Açúcar;3;3;6;3;1;2;2;0;5;3;3;1;
AL;2706422;Pariconha;1;0;1;0;1;0;0;0;0;1;1;1;
AL;2706448;Paripueira;12;27;21;13;7;6;4;12;7;14;16;8;
