CodigoIBGE,MediaMovelEmpregabilidade
1200013,0.2379010331702011
1200054,0.4625346901017577
1200104,1.1595547309833023
1200138,-2.213766034845874
1200179,1.1838630361533555
1200203,0.3588903716284524
1200252,0.6960517929623293
1200302,0.1235744801045087
1200328,0.978011601241063
1200336,0.2441525465110601
1200344,0.2708349454461038
1200351,-0.0738402466264237
1200385,-0.0194852009898486
1200393,0.0147063148916144
1200401,0.608824484598583
1200427,-0.2463581833761782
1200435,0.0692808646251905
1200450,1.138291223997857
1200500,4.877144392229865
1200609,0.6621667805878332
1200708,0.2347417840375587
1200807,0.0095113089463371
2700102,0.093776641091219
2700201,0.0470577162890285
2700300,0.8630373996539652
2700409,5.505024255024256
2700508,-0.4277074878650437
2700607,0.6770897451680417
2700706,0.2241322185191682
2700805,-0.3804385418828251
2700904,0.1413627367825841
2701001,1.5053463072458373
2701100,-0.0170433241299383
2701209,0.2335357309668378
2701308,-0.1206854936036687
2701357,-0.0244810027418723
2701407,9.383254499662142
2701506,0.2414001207000603
2701605,0.1695274422547149
2701704,0.7972892166633448
2701803,-0.2172496198131652
2701902,-0.1944444444444441
2702009,0.0
2702108,1.4870667085558698
2702207,0.0
2702306,7.206215562078377
2702355,-1.7594859241126068
2702405,4.055886712713281
2702504,-0.016838418535731
2702553,1.0836308006119326
2702603,0.0861920358558868
2702702,0.1239157372986369
2702801,0.581494783649735
2702900,-0.0714215568113845
2703007,0.2980021932961427
2703106,0.1227244835344651
2703205,7.228025746544264
2703304,-0.270633064865333
2703403,-0.032175032175032
2703502,0.4305837485390908
2703601,0.7754397095625817
2703700,0.2959163543105149
2703759,1.4572707400853544
2703809,-0.1441586898858262
2703908,-0.439121756487026
2704005,4.340633800891368
2704104,1.0087067317901892
2704203,0.1985387547649302
2704302,0.6878053748656551
2704401,0.121531673023708
2704500,1.8084903864458408
2704609,0.0343324063583616
2704708,2.8490484498295374
2704807,0.1789549033643521
2704906,1.5586034912718203
2705002,0.0828587785109524
2705101,3.7811844971435615
2705200,0.031834967528333
2705309,0.0675447483958122
2705408,0.9531590413943354
2705507,-0.9192830877626056
2705606,1.9607843137254903
2705705,0.2286885892279787
2705804,0.0782288977548305
2705903,0.0380430647492962
2706000,0.2413928366675718
2706109,0.085426277122843
2706208,0.0
2706307,1.0436333835907328
2706406,0.2126988047699422
2706422,0.3855525739489836
2706448,0.0234758316313356
2706505,0.6988865197820421
2706604,-0.2739999003636726
2706703,2.0769294674752845
2706802,-0.5867094861660079
2706901,0.460871549167237
2707008,0.4187604690117252
2707107,1.1712141586778293
2707206,0.1285512276642242
2707305,0.6936227508262274
2707404,3.4324542047564006
2707503,-0.1397589569049145
2707602,0.1327081305848005
2707701,5.643845528954787
2707800,0.8830356241800383
2707909,0.047174261722804
2708006,0.0808413120193457
2708105,-0.0720129047125245
2708204,0.1016725128361547
2708303,13.707900535096009
2708402,2.1117763206521167
2708501,5.689266425462745
2708600,3.7592106906456855
2708709,2.586206896551724
2708808,0.1222979790258966
2708907,0.3452167562902477
2708956,0.4782781984854524
2709004,-0.1128795575121345
2709103,0.2402031432297028
2709152,2.7676298018377063
2709202,0.0207417240521032
2709301,0.3039763391390075
2709400,0.3618142595778379
1300029,0.0495854655083501
1300060,0.028902569438423
1300086,0.0500951808436028
1300102,0.0461527100871363
1300144,0.3672925944630641
1300201,0.0104894371368032
1300300,0.3154917319408181
1300409,0.4210140948196961
1300508,0.2322914813277188
1300607,0.0081483654378931
1300631,0.0148181077276431
1300680,0.0944144416329921
1300706,0.1460782291881488
1300805,-0.0764767176192797
1300839,0.1013102796163717
1300904,-0.0828317411231984
1301001,0.1713245529499946
1301100,0.1546264225630876
1301159,-0.0410024273436987
1301209,0.0770178681454098
1301308,0.0339139399858917
1301407,0.0605332513806237
1301506,0.1112037809285515
1301605,0.0
1301654,-0.0348577802565532
1301704,-0.1050629852596631
1301803,0.0130060998608347
1301852,1.9192975322625927
1301902,0.3028520765118463
1301951,0.041820006691201
1302009,0.1977787920279934
1302108,0.035385704175513
1302207,0.1502448991856726
1302306,0.141833912488476
1302405,0.1617174392043502
1302504,0.3087220696011669
1302553,0.0616865091604466
1302603,0.781196192381174
1302702,-0.0746894641892745
1302801,-0.0316155548529876
1302900,0.2286340247628235
1303007,-0.0235283045503741
1303106,0.1244532944564946
1303205,0.3018959062915107
1303304,0.0658111220796314
1303403,-0.1832670626544269
1303502,0.0082389968197472
1303536,1.9074224264816315
1303569,0.9527939862271988
1303601,-0.0478000047800005
1303700,0.1358149439899171
1303809,0.0145190141008664
1303908,0.1175629667249778
1303957,0.1621008267142162
1304005,0.3830203132842014
1304062,0.1885986439075821
1304104,0.0402032677216004
1304203,0.072792010348944
1304237,0.0246828256898849
1304260,0.2983802216538789
1304302,0.0764642911760207
1304401,0.0064188972334552
1600055,0.2665067626091011
1600105,-0.0592417061611374
1600154,2.3521505376344085
1600204,0.508972457319024
1600212,-0.7057661091114404
1600238,0.3711952487008165
1600253,3.23815048849004e-17
1600279,0.598507252499648
1600303,1.1388482724631526
1600402,2.3065382296442745
1600501,0.5359579029428961
1600535,0.7524849503009939
1600550,-0.0411725955204216
1600600,0.3423033649543082
1600709,0.3015827060413047
1600808,0.2381152477799254
2900108,0.4500247513613249
2900207,1.3137008046417429
2900306,0.1173708920187793
2900355,0.1148633126579369
2900405,-0.0898896604418077
2900504,-0.182698456198045
2900603,0.6182267801294637
2900702,0.2584844950660479
2900801,0.8723617567022122
2900900,-0.2832326283987915
2901007,-0.0086389356831238
2901106,0.1678077594307962
2901155,0.0749207980135285
2901205,0.2679628591013896
2901304,-1.2304663467454164
2901353,0.7208486648161297
2901403,-0.1410636196924813
2901502,-2.4223962866260518
2901601,0.978821854422495
2901700,0.0434858236214992
2901809,0.0296348980559507
2901908,0.3157916182792413
2901957,0.3285922170586303
2902005,0.5424746075715605
2902054,0.2788700186842912
2902104,0.1424558055710159
2902203,0.4617718846889636
2902252,-0.2715741716987763
2902302,-0.0370658660439601
2902401,0.5291471911103273
2902500,0.6719479417173576
2902609,0.3668312933934579
2902658,0.0542534722222221
2902708,0.0217491269279047
2902807,0.5887370988477575
2902906,1.4990107393103689
2903003,0.0579669820070487
2903102,0.2260653328812027
2903201,1.930464437893036
2903235,0.6704017621989177
2903276,0.2957329953527673
2903300,0.589622641509434
2903409,-0.2922979490427244
2903508,0.0087378980112544
2903607,-0.0106817065094318
2903706,0.095183704549781
2903805,0.0868960722975321
2903904,0.8930386547788459
2903953,-0.1996406468356957
2904001,1.2271386430678468
2904050,0.3145611364789446
2904100,-0.2780305328076028
2904209,0.1166827105393658
2904308,0.5923573301068764
2904407,0.516216312435473
2904506,0.5199781061850026
2904605,0.058268789443488
2904704,0.5351170568561873
2904753,0.0082422564001121
2904803,0.2991731940818106
2904852,0.0587406015037594
2904902,-0.3114958357925108
2905008,0.7942300261881252
2905107,0.2329264884002609
2905156,0.0291579192908793
2905206,-0.0609050490285643
2905305,0.0738402466264237
2905404,0.3857609358739728
2905503,0.0245152116888529
2905602,-0.2001334222815209
2905701,1.6203617339684195
2905800,0.415430891230727
2905909,0.1128205128205128
2906006,0.3572442929669471
2906105,-0.093976130062964
2906204,-0.0133296010450407
