municipio,participacao
Rio Maria,0.00668
Rondon do Pará,0.00815
Rurópolis,0.00551
Salinópolis,0.00712
Salvaterra,0.00233
Santa Bárbara do Pará,0.00267
Santa Cruz do Arari,0.00107
Santa Izabel do Pará,0.01038
Santa Luzia do Pará,0.00218
Santa Maria das Barreiras,0.0119
Santa Maria do Pará,0.00412
Santana do Araguaia,0.01533
Santarém,0.07091
Santarém Novo,0.00067
Santo Antônio do Tauá,0.00528
São Caetano de Odivelas,0.00203
São Domingos do Araguaia,0.00398
São Domingos do Capim,0.00486
São Félix do Xingu,0.02229
São Francisco do Pará,0.00293
São Geraldo do Araguaia,0.00789
São João da Ponta,0.00064
São João de Pirabas,0.00202
São João do Araguaia,0.00207
São Miguel do Guamá,0.0088
São Sebastião da Boa Vista,0.00272
Sapucaia,0.00157
Senador José Porfírio,0.00273
Soure,0.00268
Tailândia,0.01433
Terra Alta,0.00092
Terra Santa,0.00576
Tomé-Açu,0.01155
Tracuateua,0.00317
Trairão,0.00363
Tucumã,0.01092
Tucuruí,0.0623
Ulianópolis,0.02215
Uruará,0.00859
Vigia,0.00529
Viseu,0.00686
Vitória do Xingu,0.04695
Xinguara,0.01781
Serra do Navio,0.00102
Amapá,0.00177
Pedra Branca do Amapari,0.00503
Calçoene,0.00205
Cutias,0.00105
Ferreira Gomes,0.00642
Itaubal,0.00098
Laranjal do Jari,0.01259
Macapá,0.14356
Mazagão,0.00419
Oiapoque,0.00587
Porto Grande,0.00415
Pracuúba,0.00094
Santana,0.02788
Tartarugalzinho,0.00291
Vitória do Jari,0.00263
Abreulândia,0.00124
Aguiarnópolis,0.00184
Aliança do Tocantins,0.00684
Almas,0.00304
Alvorada,0.00526
Ananás,0.00177
Angico,0.00054
Aparecida do Rio Negro,0.00284
Aragominas,0.00109
Araguacema,0.00267
Araguaçu,0.00387
Araguaína,0.05813
Araguanã,0.00113
Araguatins,0.00587
Arapoema,0.0036
Arraias,0.00248
Augustinópolis,0.00339
Aurora do Tocantins,0.00065
Axixá do Tocantins,0.00157
Babaçulândia,0.00176
Bandeirantes do Tocantins,0.00198
Barra do Ouro,0.00126
Barrolândia,0.00135
Bernardo Sayão,0.00114
Bom Jesus do Tocantins,0.00155
Brasilândia do Tocantins,0.00084
Brejinho de Nazaré,0.00303
Buriti do Tocantins,0.00179
Cachoeirinha,0.00065
Campos Lindos,0.01115
Cariri do Tocantins,0.00574
Carmolândia,0.00077
Carrasco Bonito,0.00056
Caseara,0.00432
Centenário,0.00072
Chapada de Areia,0.00044
Chapada da Natividade,0.00165
Colinas do Tocantins,0.00957
Combinado,0.00085
Conceição do Tocantins,0.00075
Couto Magalhães,0.00226
Cristalândia,0.00197
Crixás do Tocantins,0.00087
Darcinópolis,0.00268
Dianópolis,0.00716
Divinópolis do Tocantins,0.00277
Dois Irmãos do Tocantins,0.0024
Dueré,0.00227
Esperantina,0.00132
Fátima,0.00099
Figueirópolis,0.00285
Filadélfia,0.00143
Formoso do Araguaia,0.01569
Tabocão,0.00258
Goianorte,0.00215
Goiatins,0.00256
Guaraí,0.00977
Gurupi,0.02939
Ipueiras,0.00053
Itacajá,0.00207
Itaguatins,0.00092
Itapiratins,0.0019
Itaporã do Tocantins,0.00078
Jaú do Tocantins,0.00109
Juarina,0.00049
Lagoa da Confusão,0.01108
Lagoa do Tocantins,0.00099
Lajeado,0.00071
Lavandeira,0.00042
Lizarda,0.00074
Luzinópolis,0.00079
Marianópolis do Tocantins,0.0028
Mateiros,0.0028
Maurilândia do Tocantins,0.00062
Miracema do Tocantins,0.00712
Miranorte,0.00433
Monte do Carmo,0.00329
Monte Santo do Tocantins,0.00083
Palmeiras do Tocantins,0.00106
Muricilândia,0.00077
Natividade,0.00274
Nazaré,0.00065
Nova Olinda,0.00355
Nova Rosalândia,0.00112
Novo Acordo,0.00094
Novo Alegre,0.00039
Novo Jardim,0.00047
Oliveira de Fátima,0.00033
Palmeirante,0.00206
Palmeirópolis,0.00189
Paraíso do Tocantins,0.0168
Paranã,0.0035
Pau D'Arco,0.00101
Pedro Afonso,0.00942
Peixe,0.00814
Pequizeiro,0.00119
Colméia,0.00203
Pindorama do Tocantins,0.00094
Piraquê,0.001
Pium,0.00402
Ponte Alta do Bom Jesus,0.00073
Ponte Alta do Tocantins,0.00134
Porto Alegre do Tocantins,0.00052
Porto Nacional,0.04049
Praia Norte,0.00103
Presidente Kennedy,0.00072
Pugmil,0.00092
Recursolândia,0.00102
Riachinho,0.00076
Rio da Conceição,0.00032
Rio dos Bois,0.00095
Rio Sono,0.00124
Sampaio,0.00162
Sandolândia,0.0013
Santa Fé do Araguaia,0.00195
Santa Maria do Tocantins,0.00155
Santa Rita do Tocantins,0.002
Santa Rosa do Tocantins,0.00341
Santa Tereza do Tocantins,0.00053
Santa Terezinha do Tocantins,0.00047
São Bento do Tocantins,0.00082
São Félix do Tocantins,0.00041
São Miguel do Tocantins,0.00284
São Salvador do Tocantins,0.00055
São Sebastião do Tocantins,0.00069
São Valério,0.00174
Silvanópolis,0.00267
Sítio Novo do Tocantins,0.00147
Sucupira,0.00591
Taguatinga,0.00353
Taipas do Tocantins,0.00039
Talismã,0.00163
Palmas,0.11466
Tocantínia,0.00212
Tocantinópolis,0.00413
Tupirama,0.00132
Tupiratins,0.00043
Wanderlândia,0.00204
Xambioá,0.00523
Açailândia,0.04248
Afonso Cunha,0.00094
Água Doce do Maranhão,0.00113
Alcântara,0.00165
Aldeias Altas,0.00277
Altamira do Maranhão,0.00079
Alto Alegre do Maranhão,0.00336
Alto Alegre do Pindaré,0.00279
Alto Parnaíba,0.00642
Amapá do Maranhão,0.00078
Amarante do Maranhão,0.00431
Anajatuba,0.0023
Anapurus,0.00165
Apicum-Açu,0.00149
Araguanã,0.00113
Araioses,0.00314
Arame,0.00322
Arari,0.00348
Axixá,0.00108
Bacabal,0.01681
Bacabeira,0.00665
Bacuri,0.00136
Bacurituba,0.00044
Balsas,0.06999
Barão de Grajaú,0.00298
Barra do Corda,0.00987
Barreirinhas,0.00705
Belágua,0.00067
Bela Vista do Maranhão,0.00119
Benedito Leite,0.00081
Bequimão,0.00153
Bernardo do Mearim,0.00117
Boa Vista do Gurupi,0.00075
Bom Jardim,0.00457
Bom Jesus das Selvas,0.00417
Bom Lugar,0.00131
Brejo,0.00365
Brejo de Areia,0.00079
Buriti,0.00308
Buriti Bravo,0.00265
Buriticupu,0.0083
Buritirana,0.00136
Cachoeira Grande,0.00068
Cajapió,0.00078
Cajari,0.00142
Campestre do Maranhão,0.00237
Cândido Mendes,0.00163
Cantanhede,0.0017
Capinzal do Norte,0.00315
Carolina,0.00584
Carutapera,0.00224
Caxias,0.02345
Cedral,0.00087
Central do Maranhão,0.00065
Centro do Guilherme,0.00115
Centro Novo do Maranhão,0.00223
Chapadinha,0.00993
Cidelândia,0.00204
Codó,0.0183
Coelho Neto,0.00513
Colinas,0.00614
Conceição do Lago-Açu,0.00163
Coroatá,0.00592
Cururupu,0.00294
Davinópolis,0.00211
Dom Pedro,0.00291
Duque Bacelar,0.00096
Esperantinópolis,0.00176
Estreito,0.01264
Feira Nova do Maranhão,0.00131
Fernando Falcão,0.00111
Formosa da Serra Negra,0.00224
Fortaleza dos Nogueiras,0.00385
Fortuna,0.00159
Godofredo Viana,0.0295
Gonçalves Dias,0.00167
Governador Archer,0.00102
Governador Edison Lobão,0.00416
Governador Eugênio Barros,0.00131
Governador Luiz Rocha,0.00079
Governador Newton Bello,0.00093
Governador Nunes Freire,0.00286
Graça Aranha,0.0006
Grajaú,0.01276
Guimarães,0.00104
Humberto de Campos,0.00205
Icatu,0.00199
Igarapé do Meio,0.00411
Igarapé Grande,0.00131
Imperatriz,0.08537
Itaipava do Grajaú,0.00119
Itapecuru Mirim,0.00858
Itinga do Maranhão,0.00543
Jatobá,0.00084
Jenipapo dos Vieiras,0.0014
João Lisboa,0.003
Joselândia,0.00129
Junco do Maranhão,0.00068
Lago da Pedra,0.00611
Lago do Junco,0.00096
Lago Verde,0.00151
Lagoa do Mato,0.00108
Lago dos Rodrigues,0.00093
Lagoa Grande do Maranhão,0.00114
Lajeado Novo,0.00113
Lima Campos,0.00305
Loreto,0.00459
Luís Domingues,0.00064
Magalhães de Almeida,0.00156
Maracaçumé,0.0023
Marajá do Sena,0.00101
Maranhãozinho,0.00134
Mata Roma,0.00199
Matinha,0.00218
Matões,0.00285
Matões do Norte,0.0011
Milagres do Maranhão,0.00071
Mirador,0.00308
Miranda do Norte,0.00875
Mirinzal,0.00124
Monção,0.00286
Montes Altos,0.00096
Morros,0.00166
Nina Rodrigues,0.00098
Nova Colinas,0.00096
Nova Iorque,0.00057
Nova Olinda do Maranhão,0.00203
Olho d'Água das Cunhãs,0.00209
Olinda Nova do Maranhão,0.00119
Paço do Lumiar,0.01377
Palmeirândia,0.00154
Paraibano,0.00203
Parnarama,0.00358
Passagem Franca,0.00222
Pastos Bons,0.00343
Paulino Neves,0.00131
Paulo Ramos,0.00215
Pedreiras,0.00874
Pedro do Rosário,0.00175
Penalva,0.00282
Peri Mirim,0.00106
Peritoró,0.00256
Pindaré-Mirim,0.00329
Pinheiro,0.01154
Pio XII,0.00212
Pirapemas,0.00145
Poção de Pedras,0.00181
Porto Franco,0.01139
Porto Rico do Maranhão,0.00051
Presidente Dutra,0.00839
Presidente Juscelino,0.00094
Presidente Médici,0.00067
Presidente Sarney,0.00183
Presidente Vargas,0.00085
Primeira Cruz,0.00099
Raposa,0.00318
Riachão,0.00747
Ribamar Fiquene,0.00138
Rosário,0.00492
Sambaíba,0.00527
Santa Filomena do Maranhão,0.00067
Santa Helena,0.00397
Santa Inês,0.01627
Santa Luzia,0.00825
Santa Luzia do Paruá,0.00281
Santa Quitéria do Maranhão,0.00242
Santa Rita,0.00394
Santana do Maranhão,0.00082
Santo Amaro do Maranhão,0.00106
Santo Antônio dos Lopes,0.03391
São Benedito do Rio Preto,0.00159
São Bento,0.00346
São Bernardo,0.00312
São Domingos do Azeitão,0.00356
São Domingos do Maranhão,0.00395
São Félix de Balsas,0.00096
São Francisco do Brejão,0.00135
São Francisco do Maranhão,0.0011
São João Batista,0.0015
São João do Carú,0.00137
São João do Paraíso,0.00168
São João do Soter,0.00174
São João dos Patos,0.00378
São José de Ribamar,0.02545
São José dos Basílios,0.00069
São Luís,0.4054
São Luís Gonzaga do Maranhão,0.00189
São Mateus do Maranhão,0.00476
São Pedro da Água Branca,0.00142
São Pedro dos Crentes,0.00093
São Raimundo das Mangabeiras,0.00821
São Raimundo do Doca Bezerra,0.00049
São Roberto,0.00051
São Vicente Ferrer,0.00162
Satubinha,0.00103
Senador Alexandre Costa,0.00113
Senador La Rocque,0.00208
Serrano do Maranhão,0.0008
Sítio Novo,0.00246
Sucupira do Norte,0.0014
Sucupira do Riachão,0.00053
Tasso Fragoso,0.02609
Timbiras,0.00218
Timon,0.02575
Trizidela do Vale,0.00583
Tufilândia,0.00067
Tuntum,0.00405
Turiaçu,0.00328
Turilândia,0.00248
Tutóia,0.00606
Urbano Santos,0.00275
Vargem Grande,0.00481
Viana,0.00544
Vila Nova dos Martírios,0.00174
Vitória do Mearim,0.00353
Vitorino Freire,0.00361
Zé Doca,0.00629
Acauã,0.00082
Agricolândia,0.00052
Água Branca,0.00271
Alagoinha do Piauí,0.00073
Alegrete do Piauí,0.00053
Alto Longá,0.00145
Altos,0.00597
Alvorada do Gurguéia,0.00091
Amarante,0.00214
Angical do Piauí,0.00074
Anísio de Abreu,0.0011
Antônio Almeida,0.0016
Aroazes,0.00064
Aroeiras do Itaim,0.00027
Arraial,0.00054
Assunção do Piauí,0.00071
Avelino Lopes,0.00108
Baixa Grande do Ribeiro,0.01962
Barra D'Alcântara,0.00043
Barras,0.00552
Barreiras do Piauí,0.00181
Barro Duro,0.001
Batalha,0.00278
Bela Vista do Piauí,0.00052
Belém do Piauí,0.00046
Beneditinos,0.00102
Bertolínia,0.0008
Betânia do Piauí,0.00069
Boa Hora,0.00069
Bocaina,0.00053
Bom Jesus,0.01565
Bom Princípio do Piauí,0.00078
Bonfim do Piauí,0.00059
Boqueirão do Piauí,0.00057
Brasileira,0.00077
Brejo do Piauí,0.00049
Buriti dos Lopes,0.00238
