municipio,participacao
Tabuleiro do Norte,0.005
Tamboril,0.00313
Tarrafas,0.00095
Tauá,0.0079
Tejuçuoca,0.00152
Tianguá,0.01923
Trairi,0.01237
Tururu,0.00153
Ubajara,0.00712
Umari,0.00077
Umirim,0.00192
Uruburetama,0.00332
Uruoca,0.00331
Varjota,0.00417
Várzea Alegre,0.00519
Viçosa do Ceará,0.00669
Acari,0.00158
Açu,0.01628
Afonso Bezerra,0.00153
Água Nova,0.00038
Alexandria,0.00167
Almino Afonso,0.00056
Alto do Rodrigues,0.00684
Angicos,0.002
Antônio Martins,0.00073
Apodi,0.00787
Areia Branca,0.01039
Arês,0.00429
Campo Grande,0.00117
Baía Formosa,0.00361
Baraúna,0.00828
Barcelona,0.00051
Bento Fernandes,0.00098
Bodó,0.00318
Bom Jesus,0.00121
Brejinho,0.00155
Caiçara do Norte,0.00124
Caiçara do Rio do Vento,0.00067
Caicó,0.01548
Campo Redondo,0.00119
Canguaretama,0.00672
Caraúbas,0.00415
Carnaúba dos Dantas,0.00131
Carnaubais,0.00234
Ceará-Mirim,0.01112
Cerro Corá,0.00156
Coronel Ezequiel,0.00058
Coronel João Pessoa,0.00053
Cruzeta,0.00137
Currais Novos,0.00892
Doutor Severiano,0.00087
Parnamirim,0.07596
Encanto,0.00069
Equador,0.00091
Espírito Santo,0.00108
Extremoz,0.00633
Felipe Guerra,0.00193
Fernando Pedroza,0.00043
Florânia,0.00134
Francisco Dantas,0.00036
Frutuoso Gomes,0.0005
Galinhos,0.0018
Goianinha,0.00606
Governador Dix-Sept Rosado,0.00429
Grossos,0.00176
Guamaré,0.02266
Ielmo Marinho,0.00156
Ipanguaçu,0.00218
Ipueira,0.00039
Itajá,0.0011
Itaú,0.00082
Jaçanã,0.00096
Jandaíra,0.00113
Janduís,0.00094
Januário Cicco,0.00094
Japi,0.00057
Jardim de Angicos,0.00071
Jardim de Piranhas,0.00237
Jardim do Seridó,0.00231
João Câmara,0.01409
João Dias,0.00031
José da Penha,0.00075
Jucurutu,0.0035
Jundiá,0.00047
Lagoa d'Anta,0.00079
Lagoa de Pedras,0.0009
Lagoa de Velhos,0.00042
Lagoa Nova,0.00299
Lagoa Salgada,0.00105
Lajes,0.00184
Lajes Pintadas,0.00057
Lucrécia,0.00057
Luís Gomes,0.00097
Macaíba,0.02029
Macau,0.01233
Major Sales,0.00053
Marcelino Vieira,0.00092
Martins,0.0012
Maxaranguape,0.0015
Messias Targino,0.00062
Montanhas,0.00145
Monte Alegre,0.00301
Monte das Gameleiras,0.00036
Mossoró,0.08957
Natal,0.26837
Nísia Floresta,0.00527
Nova Cruz,0.00622
Olho d'Água do Borges,0.00053
Ouro Branco,0.00068
Paraná,0.00049
Paraú,0.00061
Parazinho,0.00673
Parelhas,0.00409
Rio do Fogo,0.00206
Passa e Fica,0.00169
Passagem,0.00051
Patu,0.00179
Santa Maria,0.00087
Pau dos Ferros,0.00787
Pedra Grande,0.00325
Pedra Preta,0.0004
Pedro Avelino,0.00089
Pedro Velho,0.00193
Pendências,0.00841
Pilões,0.00046
Poço Branco,0.00146
Portalegre,0.00088
Porto do Mangue,0.00166
Serra Caiada,0.00121
Pureza,0.00188
Rafael Fernandes,0.00059
Rafael Godeiro,0.00048
Riacho da Cruz,0.00042
Riacho de Santana,0.00048
Riachuelo,0.00213
Rodolfo Fernandes,0.00066
Tibau,0.00128
Ruy Barbosa,0.00141
Santa Cruz,0.00687
Santana do Matos,0.00163
Santana do Seridó,0.0004
Santo Antônio,0.00336
São Bento do Norte,0.00609
São Bento do Trairí,0.00051
São Fernando,0.00071
São Francisco do Oeste,0.0006
São Gonçalo do Amarante,0.02114
São João do Sabugi,0.00094
São José de Mipibu,0.01155
São José do Campestre,0.00139
São José do Seridó,0.00093
São Miguel,0.00355
São Miguel do Gostoso,0.00547
São Paulo do Potengi,0.00257
São Pedro,0.00062
São Rafael,0.00098
São Tomé,0.00124
São Vicente,0.00085
Senador Elói de Souza,0.00067
Senador Georgino Avelino,0.00129
Serra de São Bento,0.00064
Serra do Mel,0.00953
Serra Negra do Norte,0.00132
Serrinha,0.0008
Serrinha dos Pintos,0.00055
Severiano Melo,0.0007
Sítio Novo,0.0006
Taboleiro Grande,0.00036
Taipu,0.00172
Tangará,0.00224
Tenente Ananias,0.00126
Tenente Laurentino Cruz,0.00119
Tibau do Sul,0.00461
Timbaúba dos Batistas,0.00048
Touros,0.00904
Triunfo Potiguar,0.00051
Umarizal,0.00168
Upanema,0.00238
Várzea,0.00063
Venha-Ver,0.00048
Vera Cruz,0.00148
Viçosa,0.00026
Vila Flor,0.00049
Água Branca,0.00102
Aguiar,0.00067
Alagoa Grande,0.00333
Alagoa Nova,0.00372
Alagoinha,0.00154
Alcantil,0.00061
Algodão de Jandaíra,0.00032
Alhandra,0.03772
São João do Rio do Peixe,0.0025
Amparo,0.00033
Aparecida,0.00117
Araçagi,0.00206
Arara,0.00125
Araruna,0.00227
Areia,0.00285
Areia de Baraúnas,0.00029
Areial,0.00069
Aroeiras,0.00186
Assunção,0.00054
Baía da Traição,0.0012
Bananeiras,0.00309
Baraúna,0.00055
Barra de Santana,0.00101
Barra de Santa Rosa,0.00167
Barra de São Miguel,0.00094
Bayeux,0.01517
Belém,0.00242
Belém do Brejo do Cruz,0.00087
Bernardino Batista,0.00044
Boa Ventura,0.00057
Boa Vista,0.00229
Bom Jesus,0.00036
Bom Sucesso,0.0006
Bonito de Santa Fé,0.00107
Boqueirão,0.00285
Igaracy,0.00067
Borborema,0.00077
Brejo do Cruz,0.00163
Brejo dos Santos,0.00071
Caaporã,0.00518
Cabaceiras,0.00129
Cabedelo,0.03498
Cachoeira dos Índios,0.00138
Cacimba de Areia,0.00043
Cacimba de Dentro,0.00171
Cacimbas,0.00074
Caiçara,0.00073
Cajazeiras,0.01367
Cajazeirinhas,0.00047
Caldas Brandão,0.00083
Camalaú,0.00079
Campina Grande,0.1151
Capim,0.00084
Caraúbas,0.00047
Carrapateira,0.00034
Casserengue,0.00078
Catingueira,0.00059
Catolé do Rocha,0.00561
Caturité,0.00068
Conceição,0.00232
Condado,0.001
Conde,0.01428
Congo,0.00068
Coremas,0.00277
Coxixola,0.00027
Cruz do Espírito Santo,0.00212
Cubati,0.00085
Cuité,0.00245
Cuitegi,0.00074
Cuité de Mamanguape,0.00082
Curral de Cima,0.00062
Curral Velho,0.0003
Damião,0.00056
Desterro,0.00081
Vista Serrana,0.00044
Diamante,0.00066
Dona Inês,0.00104
Duas Estradas,0.0005
Emas,0.00046
Esperança,0.00563
Fagundes,0.00117
Frei Martinho,0.00034
Gado Bravo,0.00085
Guarabira,0.01986
Gurinhém,0.00168
Gurjão,0.00043
Ibiara,0.00064
Imaculada,0.00109
Ingá,0.00216
Itabaiana,0.00373
Itaporanga,0.00379
Itapororoca,0.00229
Itatuba,0.00172
Jacaraú,0.00183
Jericó,0.00085
João Pessoa,0.24683
Juarez Távora,0.00081
Juazeirinho,0.00233
Junco do Seridó,0.00107
Juripiranga,0.0013
Juru,0.00097
Lagoa,0.00057
Lagoa de Dentro,0.00093
Lagoa Seca,0.00344
Lastro,0.00033
Livramento,0.00078
Logradouro,0.00054
Lucena,0.00248
Mãe d'Água,0.00043
Malta,0.00088
Mamanguape,0.00893
Manaíra,0.00113
Marcação,0.00106
Mari,0.00268
Marizópolis,0.00091
Massaranduba,0.00145
Mataraca,0.00267
Matinhas,0.0006
Mato Grosso,0.00035
Maturéia,0.00069
Mogeiro,0.00182
Montadas,0.00061
Monte Horebe,0.00053
Monteiro,0.00705
Mulungu,0.00109
Natuba,0.00106
Nazarezinho,0.00073
Nova Floresta,0.00111
Nova Olinda,0.00064
Nova Palmeira,0.00054
Olho d'Água,0.00069
Olivedos,0.00048
Ouro Velho,0.00042
Parari,0.00024
Passagem,0.00032
Patos,0.02212
Paulista,0.00174
Pedra Branca,0.00042
Pedra Lavrada,0.00089
Pedras de Fogo,0.00617
Piancó,0.00229
Picuí,0.00237
Pilar,0.00135
Pilões,0.00106
Pilõezinhos,0.00057
Pirpirituba,0.00106
Pitimbu,0.00477
Pocinhos,0.00316
Poço Dantas,0.00045
Poço de José de Moura,0.00052
Pombal,0.00516
Prata,0.00072
Princesa Isabel,0.00296
Puxinanã,0.00153
Queimadas,0.00672
Quixaba,0.0003
Remígio,0.00201
Pedro Régis,0.00063
Riachão,0.0004
Riachão do Bacamarte,0.00056
Riachão do Poço,0.00062
Riacho de Santo Antônio,0.00034
Riacho dos Cavalos,0.00103
Rio Tinto,0.00357
Salgadinho,0.00037
Salgado de São Félix,0.00143
Santa Cecília,0.00073
Santa Cruz,0.00069
Santa Helena,0.00069
Santa Inês,0.00041
Santa Luzia,0.00413
Santana de Mangueira,0.00057
Santana dos Garrotes,0.00075
Joca Claudino,0.00037
Santa Rita,0.02904
Santa Teresinha,0.00063
Santo André,0.00033
São Bento,0.00629
São Bentinho,0.00061
São Domingos do Cariri,0.00032
São Domingos,0.0004
São Francisco,0.00043
São João do Cariri,0.00061
São João do Tigre,0.00045
São José da Lagoa Tapada,0.0008
São José de Caiana,0.00062
São José de Espinharas,0.00061
São José dos Ramos,0.00096
São José de Piranhas,0.00256
São José de Princesa,0.00038
São José do Bonfim,0.00036
São José do Brejo do Cruz,0.00032
São José do Sabugi,0.00139
São José dos Cordeiros,0.00041
São Mamede,0.00091
São Miguel de Taipu,0.00092
São Sebastião de Lagoa de Roça,0.00117
São Sebastião do Umbuzeiro,0.00045
Sapé,0.0075
São Vicente do Seridó,0.001
Serra Branca,0.00164
Serra da Raiz,0.00041
Serra Grande,0.00037
Serra Redonda,0.00079
Serraria,0.00075
Sertãozinho,0.00061
Sobrado,0.00125
Solânea,0.00392
Soledade,0.00226
Sossêgo,0.00043
Sousa,0.01463
Sumé,0.00223
Tacima,0.00102
Taperoá,0.00154
Tavares,0.00155
Teixeira,0.00188
Tenório,0.00038
Triunfo,0.00097
Uiraúna,0.00214
Umbuzeiro,0.00101
Várzea,0.00042
Vieirópolis,0.00058
Zabelê,0.0003
Abreu e Lima,0.01913
Afogados da Ingazeira,0.00601
Afrânio,0.00233
Agrestina,0.00392
Água Preta,0.00288
Águas Belas,0.00445
Alagoinha,0.00161
Aliança,0.00459
Altinho,0.00247
Amaraji,0.00327
Angelim,0.00158
Araçoiaba,0.0018
Araripina,0.01412
Arcoverde,0.01349
Barra de Guabiraba,0.00163
Barreiros,0.00559
Belém de Maria,0.0011
Belém do São Francisco,0.00406
Belo Jardim,0.03068
Betânia,0.00117
Bezerros,0.01068
Bodocó,0.00352
Bom Conselho,0.00714
Bom Jardim,0.00407
Bonito,0.00598
Brejão,0.00204
Brejinho,0.00093
Brejo da Madre de Deus,0.00512
Buenos Aires,0.00148
Buíque,0.00609
Cabo de Santo Agostinho,0.15209
Cabrobó,0.00489
Cachoeirinha,0.00282
Caetés,0.0047
Calçado,0.00128
Calumbi,0.00056
Camaragibe,0.02474
Camocim de São Félix,0.00201
Camutanga,0.00317
Canhotinho,0.00281
Capoeiras,0.00271
Carnaíba,0.00215
Carnaubeira da Penha,0.00093
Carpina,0.01936
Caruaru,0.09613
Casinhas,0.00113
Catende,0.004
Cedro,0.00139
Chã de Alegria,0.00187
Chã Grande,0.00279
Condado,0.00278
Correntes,0.00213
Cortês,0.00135
Cumaru,0.00121
Cupira,0.00315
Custódia,0.00659
Dormentes,0.00273
Escada,0.0145
Exu,0.00361
Feira Nova,0.00275
Fernando de Noronha,0.00255
Ferreiros,0.00147
Flores,0.00214
Floresta,0.00494
Frei Miguelinho,0.00146
Gameleira,0.00304
Garanhuns,0.03414
Glória do Goitá,0.00615
Goiana,0.11832
Granito,0.00087
Gravatá,0.01509
Iati,0.00217
Ibimirim,0.00366
Ibirajuba,0.00095
Igarassu,0.03852
Iguaracy,0.00125
Inajá,0.00218
Ingazeira,0.00056
Ipojuca,0.16566
Ipubi,0.00378
Itacuruba,0.00079
Itaíba,0.00314
Ilha de Itamaracá,0.00332
Itambé,0.0058
Itapetim,0.00155
Itapissuma,0.02645
Itaquitinga,0.00178
Jaboatão dos Guararapes,0.17902
Jaqueira,0.00124
Jataúba,0.00172
Jatobá,0.00171
João Alfredo,0.00351
Joaquim Nabuco,0.00201
Jucati,0.00143
Jupi,0.00238
Jurema,0.00147
Lagoa do Carro,0.00334
Lagoa de Itaenga,0.00536
Lagoa do Ouro,0.00154
Lagoa dos Gatos,0.0015
Lagoa Grande,0.00507
Lajedo,0.0065
Limoeiro,0.0093
Macaparana,0.00315
Machados,0.0024
Manari,0.00154
Maraial,0.00103
Mirandiba,0.00181
Moreno,0.0099
Nazaré da Mata,0.00764
Olinda,0.06423
Orobó,0.00443
Orocó,0.00207
Ouricuri,0.00866
Palmares,0.01025
Palmeirina,0.00089
Panelas,0.00255
Paranatama,0.00317
Parnamirim,0.00237
Passira,0.00294
Paudalho,0.01028
Paulista,0.06205
Pedra,0.0034
Pesqueira,0.00965
Petrolândia,0.0186
Petrolina,0.0887
Poção,0.00113
Pombos,0.00591
Primavera,0.00324
Quipapá,0.00213
Quixaba,0.00074
Recife,0.60996
Riacho das Almas,0.00289
Ribeirão,0.0064
Rio Formoso,0.00422
Sairé,0.00196
Salgadinho,0.0009
Salgueiro,0.01112
Saloá,0.0019
Sanharó,0.00275
Santa Cruz,0.00148
Santa Cruz da Baixa Verde,0.00126
Santa Cruz do Capibaribe,0.02137
Santa Filomena,0.00124
Santa Maria da Boa Vista,0.00626
Santa Maria do Cambucá,0.00136
Santa Terezinha,0.00127
São Benedito do Sul,0.0013
São Bento do Una,0.01649
São Caitano,0.00497
São João,0.00433
São Joaquim do Monte,0.00206
São José da Coroa Grande,0.00323
São José do Belmonte,0.00379
São José do Egito,0.00489
São Lourenço da Mata,0.01603
São Vicente Férrer,0.00232
Serra Talhada,0.01879
Serrita,0.00179
Sertânia,0.00408
Sirinhaém,0.00802
Moreilândia,0.00101
Solidão,0.00063
Surubim,0.01016
Tabira,0.00349
Tacaimbó,0.00166
Tacaratu,0.0028
Tamandaré,0.00439
Taquaritinga do Norte,0.00371
Terezinha,0.00084
Terra Nova,0.00106
Timbaúba,0.00828
Toritama,0.00848
Tracunhaém,0.00196
Trindade,0.00465
Triunfo,0.00175
Tupanatinga,0.00252
Tuparetama,0.00099
Venturosa,0.00274
Verdejante,0.0009
Vertente do Lério,0.00082
Vertentes,0.00216
Vicência,0.00576
Vitória de Santo Antão,0.05051
Xexéu,0.00157
Água Branca,0.00225
Anadia,0.00278
Arapiraca,0.06564
Atalaia,0.01665
Barra de Santo Antônio,0.00291
Barra de São Miguel,0.00265
Batalha,0.00255
Belém,0.00212
Belo Monte,0.00168
Boca da Mata,0.00561
Branquinha,0.0086
Cacimbinhas,0.00156
Cajueiro,0.00231
Campestre,0.00097
Campo Alegre,0.00815
Campo Grande,0.00118
Canapi,0.00185
Capela,0.00275
Carneiros,0.00101
Chã Preta,0.00195
Coité do Nóia,0.00235
Colônia Leopoldina,0.00441
Coqueiro Seco,0.00107
Coruripe,0.01978
Craíbas,0.00533
Delmiro Gouveia,0.00748
Dois Riachos,0.00117
Estrela de Alagoas,0.00171
Feira Grande,0.00474
Feliz Deserto,0.00182
Flexeiras,0.0033
Girau do Ponciano,0.0061
Ibateguara,0.00218
Igaci,0.00346
Igreja Nova,0.00634
Inhapi,0.00194
Jacaré dos Homens,0.00083
Jacuípe,0.00216
Japaratinga,0.0028
Jaramataia,0.00086
Jequiá da Praia,0.00424
Joaquim Gomes,0.00578
Jundiá,0.00061
Junqueiro,0.0061
Lagoa da Canoa,0.00303
Limoeiro de Anadia,0.0076
Maceió,0.30497
Major Isidoro,0.00314
Maragogi,0.01241
Maravilha,0.00101
Marechal Deodoro,0.03783
Maribondo,0.00209
Mar Vermelho,0.00057
Mata Grande,0.00393
Matriz de Camaragibe,0.00428
Messias,0.00245
Minador do Negrão,0.00083
Monteirópolis,0.0009
Murici,0.00653
Novo Lino,0.00208
Olho d'Água das Flores,0.00302
Olho d'Água do Casado,0.00103
Olho d'Água Grande,0.00077
Olivença,0.00121
Ouro Branco,0.00123
Palestina,0.00051
Palmeira dos Índios,0.01311
Pão de Açúcar,0.00296
Pariconha,0.00161
Paripueira,0.00263
Passo de Camaragibe,0.00374
Paulo Jacinto,0.00122
Penedo,0.01092
Piaçabuçu,0.00509
Pilar,0.0075
Pindoba,0.00066
Piranhas,0.00382
Poço das Trincheiras,0.00139
Porto Calvo,0.00458
Porto de Pedras,0.0037
Porto Real do Colégio,0.00298
Quebrangulo,0.0021
Rio Largo,0.01579
Roteiro,0.00226
Santa Luzia do Norte,0.00308
Santana do Ipanema,0.00717
Santana do Mundaú,0.01563
São Brás,0.00143
São José da Laje,0.00652
São José da Tapera,0.00369
São Luís do Quitunde,0.01047
São Miguel dos Campos,0.01523
São Miguel dos Milagres,0.0027
São Sebastião,0.00953
Satuba,0.0029
Senador Rui Palmeira,0.00134
Tanque d'Arca,0.00102
Taquarana,0.00567
Teotônio Vilela,0.01506
Traipu,0.00329
União dos Palmares,0.01571
Viçosa,0.00659
Amparo do São Francisco,0.00042
Aquidabã,0.00319
Aracaju,0.20423
Arauá,0.00155
Areia Branca,0.0028
Barra dos Coqueiros,0.02865
Boquim,0.0037
Brejo Grande,0.00106
Campo do Brito,0.00264
Canhoba,0.00094
Canindé de São Francisco,0.03213
Capela,0.00428
Carira,0.00421
Carmópolis,0.00469
Cedro de São João,0.00071
Cristinápolis,0.00278
Cumbe,0.00077
Divina Pastora,0.00209
Estância,0.0236
Feira Nova,0.00128
Frei Paulo,0.0036
Gararu,0.00199
General Maynard,0.00048
Graccho Cardoso,0.00112
Ilha das Flores,0.00113
Indiaroba,0.00255
Itabaiana,0.02456
Itabaianinha,0.00595
Itabi,0.0009
Itaporanga d'Ajuda,0.00977
Japaratuba,0.00586
Japoatã,0.00234
Lagarto,0.01995
Laranjeiras,0.01289
Macambira,0.00099
Malhada dos Bois,0.00059
Malhador,0.00192
Maruim,0.00498
Moita Bonita,0.00229
Monte Alegre de Sergipe,0.00243
Muribeca,0.00107
Neópolis,0.00367
Nossa Senhora Aparecida,0.00122
Nossa Senhora da Glória,0.00877
Nossa Senhora das Dores,0.00461
Nossa Senhora de Lourdes,0.00101
Nossa Senhora do Socorro,0.03587
Pacatuba,0.00263
Pedra Mole,0.00053
Pedrinhas,0.0011
Pinhão,0.00102
Pirambu,0.00153
Poço Redondo,0.00462
Poço Verde,0.00358
Porto da Folha,0.00407
Propriá,0.00615
Riachão do Dantas,0.00365
Riachuelo,0.00247
Ribeirópolis,0.00377
Rosário do Catete,0.0052
Salgado,0.00241
Santa Luzia do Itanhy,0.00214
Santana do São Francisco,0.00118
Santa Rosa de Lima,0.00061
Santo Amaro das Brotas,0.00186
São Cristóvão,0.01145
São Domingos,0.0015
São Francisco,0.00062
São Miguel do Aleixo,0.00055
Simão Dias,0.00877
Siriri,0.00196
Telha,0.00049
Tobias Barreto,0.00728
Tomar do Geru,0.00163
Umbaúba,0.00446
Abaíra,0.00078
Abaré,0.00231
Acajutiba,0.0016
Adustina,0.00267
Água Fria,0.00176
Érico Cardoso,0.00087
Aiquara,0.0006
Alagoinhas,0.0503
Alcobaça,0.00386
Almadina,0.0007
Amargosa,0.00515
Amélia Rodrigues,0.00486
América Dourada,0.00186
Anagé,0.0025
Andaraí,0.00149
Andorinha,0.00248
Angical,0.00211
Anguera,0.00087
Antas,0.00178
Antônio Cardoso,0.00138
Antônio Gonçalves,0.00092
Aporá,0.00165
Apuarema,0.00082
Aracatu,0.00162
Araçás,0.00332
Araci,0.00545
Aramari,0.00115
Arataca,0.00113
Aratuípe,0.00089
Aurelino Leal,0.00152
Baianópolis,0.00293
Baixa Grande,0.00216
Banzaê,0.00126
Barra,0.00478
Barra da Estiva,0.00419
Barra do Choça,0.00636
Barra do Mendes,0.00129
Barra do Rocha,0.00086
Barreiras,0.07774
Barro Alto,0.00125
Barrocas,0.00384
Barro Preto,0.00089
Belmonte,0.00415
Belo Campo,0.00188
Biritinga,0.00161
Boa Nova,0.00124
Boa Vista do Tupim,0.00172
Bom Jesus da Lapa,0.01507
Bom Jesus da Serra,0.00078
Boninal,0.00131
Bonito,0.003
Boquira,0.0021
Botuporã,0.00122
Brejões,0.0016
Brejolândia,0.0014
Brotas de Macaúbas,0.00107
Brumado,0.01979
Buerarema,0.00232
Buritirama,0.00172
Caatiba,0.00086
Cabaceiras do Paraguaçu,0.00157
Cachoeira,0.00532
Caculé,0.00404
Caém,0.00102
Caetanos,0.00114
Caetité,0.01219
Cafarnaum,0.00241
Cairu,0.01671
Caldeirão Grande,0.00113
Camacan,0.00393
Camaçari,0.37695
Camamu,0.0052
Campo Alegre de Lourdes,0.00328
Campo Formoso,0.023
Canápolis,0.00094
Canarana,0.00287
Canavieiras,0.00439
Candeal,0.00075
Candeias,0.07567
Candiba,0.00156
Cândido Sales,0.00272
Cansanção,0.00391
Canudos,0.0017
Capela do Alto Alegre,0.00144
Capim Grosso,0.00643
Caraíbas,0.00096
Caravelas,0.00397
Cardeal da Silva,0.00131
Carinhanha,0.0032
Casa Nova,0.00971
Castro Alves,0.00352
Catolândia,0.0009
Catu,0.00772
Caturama,0.00087
Central,0.00171
Chorrochó,0.00117
Cícero Dantas,0.00444
Cipó,0.00172
Coaraci,0.00212
Cocos,0.00621
Conceição da Feira,0.00417
Conceição do Almeida,0.00222
Conceição do Coité,0.00982
Conceição do Jacuípe,0.03064
Conde,0.00321
Condeúba,0.0019
Contendas do Sincorá,0.00056
Coração de Maria,0.00251
Cordeiros,0.00079
Coribe,0.00188
Coronel João Sá,0.00194
Correntina,0.0364
Cotegipe,0.0019
Cravolândia,0.00051
Crisópolis,0.00229
Cristópolis,0.00175
Cruz das Almas,0.01157
Curaçá,0.00394
Dário Meira,0.0014
Dias d'Ávila,0.03385
Dom Basílio,0.00158
Dom Macedo Costa,0.00048
Elísio Medrado,0.00085
Encruzilhada,0.00284
Entre Rios,0.00756
Esplanada,0.00812
Euclides da Cunha,0.00883
Eunápolis,0.03554
Fátima,0.00311
Feira da Mata,0.0007
Feira de Santana,0.19177
Filadélfia,0.00155
Firmino Alves,0.00079
Floresta Azul,0.00113
Formosa do Rio Preto,0.05114
Gandu,0.00512
Gavião,0.00055
Gentio do Ouro,0.00148
Glória,0.00282
Gongogi,0.00085
Governador Mangabeira,0.00246
Guajeru,0.00076
Guanambi,0.01836
Guaratinga,0.0031
Heliópolis,0.00156
Iaçu,0.00263
Ibiassucê,0.0011
Ibicaraí,0.00229
Ibicoara,0.00492
Ibicuí,0.00218
Ibipeba,0.00197
Ibipitanga,0.0013
Ibiquera,0.00041
Ibirapitanga,0.00317
Ibirapuã,0.005
Ibirataia,0.0023
Ibitiara,0.00126
Ibititá,0.00173
Ibotirama,0.00461
Ichu,0.00063
Igaporã,0.0022
Igrapiúna,0.00234
Iguaí,0.00273
Ilhéus,0.0573
Inhambupe,0.00694
Ipecaetá,0.00117
Ipiaú,0.00631
Ipirá,0.00738
Ipupiara,0.00112
Irajuba,0.00087
Iramaia,0.00114
Iraquara,0.00996
Irará,0.00318
Irecê,0.017
Itabela,0.00571
Itaberaba,0.01106
Itabuna,0.04661
Itacaré,0.00473
Itaeté,0.00141
Itagi,0.00143
Itagibá,0.01224
Itagimirim,0.00141
Itaguaçu da Bahia,0.00169
Itaju do Colônia,0.00099
Itajuípe,0.00284
Itamaraju,0.01233
Itamari,0.00115
Itambé,0.00327
Itanagra,0.00091
Itanhém,0.00326
Itaparica,0.00274
Itapé,0.00118
Itapebi,0.00372
Itapetinga,0.01628
Itapicuru,0.00487
Itapitanga,0.00105
Itaquara,0.00112
Itarantim,0.00367
Itatim,0.00477
Itiruçu,0.00134
Itiúba,0.0039
Itororó,0.00279
Ituaçu,0.00285
Ituberá,0.00408
Iuiu,0.00148
Jaborandi,0.01492
Jacaraci,0.00136
Jacobina,0.02073
Jaguaquara,0.00753
Jaguarari,0.0133
Jaguaripe,0.00229
Jandaíra,0.00187
Jequié,0.03525
Jeremoabo,0.00556
Jiquiriçá,0.00167
Jitaúna,0.00195
João Dourado,0.0033
Juazeiro,0.05749
Jucuruçu,0.00142
Jussara,0.00126
Jussari,0.00079
Jussiape,0.00076
Lafaiete Coutinho,0.00061
Lagoa Real,0.00133
Laje,0.00324
Lajedão,0.00125
Lajedinho,0.00068
Lajedo do Tabocal,0.00087
Lamarão,0.00072
Lapão,0.00336
Lauro de Freitas,0.08125
Lençóis,0.00188
Licínio de Almeida,0.00175
Livramento de Nossa Senhora,0.00639
Luís Eduardo Magalhães,0.09788
Macajuba,0.00101
Macarani,0.00252
Macaúbas,0.00479
Macururé,0.00075
Madre de Deus,0.00572
Maetinga,0.00056
Maiquinique,0.00227
Mairi,0.00176
Malhada,0.00209
Malhada de Pedras,0.00089
Manoel Vitorino,0.00155
Mansidão,0.00104
Maracás,0.00728
Maragogipe,0.00447
Maraú,0.00379
Marcionílio Souza,0.00105
Mascote,0.00179
Mata de São João,0.01474
Matina,0.00102
Medeiros Neto,0.00571
Miguel Calmon,0.00303
Milagres,0.0016
Mirangaba,0.00157
Mirante,0.00087
Monte Santo,0.0051
Morpará,0.00087
Morro do Chapéu,0.00695
Mortugaba,0.00119
Mucugê,0.0086
Mucuri,0.02455
Mulungu do Morro,0.00236
Mundo Novo,0.00221
Muniz Ferreira,0.00074
Muquém do São Francisco,0.00233
Muritiba,0.00307
Mutuípe,0.00523
Nazaré,0.00367
Nilo Peçanha,0.00206
Nordestina,0.00178
Nova Canaã,0.00193
Nova Fátima,0.00106
Nova Ibiá,0.00113
Nova Itarana,0.00081
Nova Redenção,0.00084
Nova Soure,0.00302
Nova Viçosa,0.00639
Novo Horizonte,0.00117
Novo Triunfo,0.00115
Olindina,0.00269
Oliveira dos Brejinhos,0.00324
Ouriçangas,0.00089
Ourolândia,0.00311
Palmas de Monte Alto,0.00264
Palmeiras,0.0012
Paramirim,0.00301
Paratinga,0.00289
Paripiranga,0.00504
Pau Brasil,0.00117
Paulo Afonso,0.044
Pé de Serra,0.00146
Pedrão,0.00058
Pedro Alexandre,0.00132
Piatã,0.00269
Pilão Arcado,0.00323
Pindaí,0.00329
Pindobaçu,0.00174
Pintadas,0.00121
Piraí do Norte,0.0013
Piripá,0.00088
Piritiba,0.00209
Planaltino,0.00088
Planalto,0.00344
Poções,0.00636
Pojuca,0.02046
Ponto Novo,0.00158
Porto Seguro,0.04181
Potiraguá,0.00128
Prado,0.00693
Presidente Dutra,0.00147
Presidente Jânio Quadros,0.00111
Presidente Tancredo Neves,0.00375
Queimadas,0.00286
Quijingue,0.00253
Quixabeira,0.00086
Rafael Jambeiro,0.0044
Remanso,0.0054
Retirolândia,0.00166
Riachão das Neves,0.01708
Riachão do Jacuípe,0.00455
Riacho de Santana,0.00352
Ribeira do Amparo,0.00213
Ribeira do Pombal,0.00795
Ribeirão do Largo,0.00123
Rio de Contas,0.00173
Rio do Antônio,0.00128
Rio do Pires,0.00111
Rio Real,0.01145
Rodelas,0.00159
Ruy Barbosa,0.00436
Salinas da Margarida,0.00223
Salvador,0.69855
Santa Bárbara,0.002
Santa Brígida,0.00132
Santa Cruz Cabrália,0.00609
Santa Cruz da Vitória,0.00079
Santa Inês,0.00085
Santaluz,0.0058
Santa Luzia,0.00138
Santa Maria da Vitória,0.00666
Santana,0.00382
Santanópolis,0.00076
Santa Rita de Cássia,0.00317
Santa Terezinha,0.00113
Santo Amaro,0.01263
Santo Antônio de Jesus,0.02719
Santo Estêvão,0.01014
São Desidério,0.06486
São Domingos,0.00098
São Félix,0.00192
São Félix do Coribe,0.00265
São Felipe,0.00236
São Francisco do Conde,0.14521
São Gabriel,0.0017
São Gonçalo dos Campos,0.01282
São José da Vitória,0.00074
